prize1_pre_3digits,prize2_pre_3digits,prize1_sub_3digits,prize2_sub_3digits,prize_2digits
111,228,742,826,79
74,734,766,980,27
69,304,672,753,28
20,173,256,502,47
402,529,876,952,60
28,324,576,650,14
56,235,574,754,63
45,281,570,800,5
201,417,448,945,20
329,451,718,880,82
210,352,526,584,86
75,284,903,904,51
98,114,390,502,69
480,713,716,768,90
34,261,390,945,56
272,359,516,830,7
834,862,906,828,86
170,430,670,725,53
175,529,860,959,52
133,721,775,972,37
109,386,657,708,9
452,641,695,782,66
196,334,374,555,8
126,589,832,864,0
8,734,745,778,72
303,434,489,553,43
560,576,627,804,15
188,217,285,338,63
89,152,396,868,28
291,554,873,940,58
123,242,752,770,79
148,598,639,736,7
32,612,730,775,28
599,745,796,820,50
42,159,224,897,11
530,611,656,715,60
238,479,547,790,51
399,576,606,895,38
101,309,504,902,31
426,468,589,597,29
88,216,722,754,62
74,332,581,616,69
333,350,573,606,8
135,199,295,711,79
111,214,420,906,18
426,498,598,749,32
150,328,639,941,81
26,168,541,597,65
235,295,651,784,21
253,739,857,922,2
406,425,551,993,57
65,221,380,771,54
57,329,507,991,83
104,189,499,957,15
384,589,645,812,28
21,533,821,847,85
5,74,345,814,62
221,583,660,703,12
52,227,534,609,12
160,390,463,780,51
162,167,486,582,88
346,556,656,801,46
44,71,700,889,5
133,421,524,945,85
213,263,397,593,44
36,40,584,723,1
209,463,737,945,96
357,396,544,926,97
384,388,510,535,27
121,361,432,596,55
185,227,546,758,23
153,186,933,936,49
306,315,529,533,24
86,470,474,664,9
129,763,907,979,43
653,739,801,968,59
310,385,518,872,42
3,91,246,996,2
75,103,316,431,66
96,570,656,784,11
448,578,689,986,64
182,191,727,769,10
24,219,309,572,34
450,893,918,961,68
200,628,681,816,73
298,374,673,996,81
8,151,293,770,12
40,382,517,618,6
154,285,744,811,96
40,174,447,663,22
229,619,756,996,97
374,457,470,627,97
26,137,362,985,3
403,577,694,936,14
413,459,646,781,67
337,419,598,993,87
142,524,694,775,5
188,252,412,937,59
72,299,536,952,58
366,465,642,923,85
122,135,174,226,0
249,255,435,714,6
166,200,353,539,48
435,446,447,924,32
292,577,658,843,96
239,374,421,688,92
5,177,356,836,94
107,233,385,799,66
44,125,179,954,15
97,240,242,642,26
362,368,838,892,54
222,301,549,947,11
7,179,570,954,33
44,113,363,572,50
63,228,424,929,36
224,238,295,665,67
115,434,939,961,93
15,427,660,777,69
266,800,842,885,25
94,197,831,984,22
305,715,803,959,25
13,260,617,957,5
68,589,824,877,20
285,333,421,929,76
324,526,644,648,98
204,302,311,395,67
378,534,557,691,56
27,206,413,904,9
161,445,457,744,36
236,386,408,913,11
344,401,486,576,41
96,287,490,523,50
339,345,639,870,75
370,666,747,916,35
120,193,214,355,69
1,1,133,792,62
8,43,584,802,64
124,195,200,586,71
77,85,158,974,33
56,85,371,691,5
344,512,630,892,80
311,472,732,796,26
413,942,548,965,81
267,490,741,787,81
432,460,425,702,96
418,485,627,659,18
130,198,752,844,73
648,277,213,524,88
158,663,685,846,48
90,104,126,667,76
247,273,604,608,45
293,505,518,520,69
236,234,424,312,93
6,885,962,48,29
334,183,105,947,77
949,287,638,146,76
989,907,424,589,41
739,242,523,433,5
924,858,751,585,25
553,442,881,729,81
13,987,866,522,63
677,794,814,22,93
191,1,906,350,85
949,294,942,801,61
625,607,979,384,95
893,239,287,865,56
293,263,845,803,55
811,403,164,971,7
439,694,647,197,45
621,462,91,236,12
508,307,680,347,94
647,739,137,905,29
903,92,358,832,58
7,804,879,951,92
916,290,864,121,41
600,693,93,626,44
221,305,230,103,91
847,5,817,487,88
989,98,518,432,48
126,183,17,839,65
381,410,595,250,17
526,149,382,664,99
386,463,811,696,71
6,438,82,117,27
210,442,769,877,49
64,955,301,522,95
486,185,205,320,30
586,801,108,914,43
784,240,135,280,66
915,720,149,384,87
200,222,789,965,79
66,308,742,150,94
802,162,958,994,86
72,764,27,770,17
502,741,887,137,80
171,375,9,216,98
346,913,410,269,71
766,551,792,275,24
498,282,124,57,10
123,338,969,47,17
272,844,103,915,68
55,152,386,272,26
757,150,460,642,13
798,427,641,244,87
806,21,74,605,44
176,579,616,405,35
376,648,465,693,97
17,73,383,815,43
81,968,346,627,10
482,381,224,807,69
73,601,783,394,3
681,714,998,669,93
86,356,192,65,53
389,180,863,571,34
689,291,39,479,8
221,603,627,179,28
288,75,999,183,17
139,14,984,691,69
918,19,744,904,64
862,137,745,661,23
162,200,438,890,62
200,547,781,806,66
295,888,774,867,59
709,929,14,456,70
114,82,559,288,59
956,811,510,377,45
696,726,461,154,25
313,598,664,261,66
414,911,459,986,87
990,776,425,992,72
492,992,526,253,13
385,550,822,101,91
8,966,634,721,12
808,918,257,851,62
779,94,478,830,69
610,510,759,206,50
877,309,798,72,0
242,361,765,769,77
25,357,926,391,96
654,435,743,216,64
676,847,735,571,87
217,559,719,945,78
155,767,594,474,68
866,156,216,264,47
12,84,109,470,3
100,379,407,563,43
356,494,909,996,53
249,661,793,918,92
206,271,496,624,0
7,460,733,856,91
49,281,363,589,75
151,282,395,878,91
6,605,922,995,29
83,354,523,686,36
48,362,608,699,20
386,498,522,870,12
796,823,906,933,21
467,732,863,902,86
38,208,702,820,64
26,322,628,707,42
496,805,857,980,61
229,429,661,806,94
262,441,519,535,6
116,191,609,689,95
75,312,616,849,67
88,298,337,809,37
191,789,843,906,55
297,341,383,747,25
150,177,244,401,51
189,358,567,864,72
56,169,823,889,85
46,126,395,799,51
147,173,705,953,57
269,529,544,645,88
34,304,539,632,69
195,517,763,802,24
156,472,662,845,7
328,485,643,879,2
394,508,725,765,76
503,695,739,764,56
85,586,949,997,37
225,430,456,971,57
66,370,707,943,4
434,715,748,856,55
88,167,769,820,92
414,621,859,956,40
109,116,434,895,14
107,611,873,974,64
363,538,887,902,19
461,713,773,925,49
275,339,600,976,74
81,392,431,694,52
670,110,626,70,48
58,287,303,827,15
89,291,806,995,82
532,218,294,145,14
588,900,717,217,10
848,864,86,602,11
767,282,171,250,50
546,985,296,364,34
922,606,395,550,75
920,310,983,490,80
80,55,507,437,61
99,294,543,980,64
378,800,952,31,28
877,407,61,600,49
350,903,773,400,45
380,292,147,356,85
305,673,275,155,47
63,245,437,89,13
35,778,515,358,36
357,985,763,600,31
605,313,267,555,91
933,170,664,454,56
304,44,381,494,10
407,818,606,46,90
372,133,607,276,39
70,618,436,690,26
230,860,806,933,5
474,365,290,952,52
120,155,378,87,57
463,665,930,881,18
397,237,739,656,43
190,689,761,946,29
771,311,832,592,57
810,981,705,716,16
174,929,35,226,56
740,979,287,422,20
362,131,273,950,63
18,511,535,477,99
9,460,71,326,65
817,250,627,416,63
631,916,618,181,91
109,926,94,597,85
640,950,269,847,82
61,263,540,301,3
131,686,143,656,30
952,896,999,999,79
978,723,324,293,14
855,882,570,141,3
468,750,304,467,28
287,215,167,234,80
893,268,283,734,46
261,237,275,861,33
696,333,371,111,65
688,64,303,994,98
138,349,343,4,3
152,987,1,211,67
917,422,859,742,63
606,177,951,340,8
843,74,884,870,16
686,3,715,134,45
394,432,67,859,35
713,471,858,670,92
89,418,606,415,63
645,612,927,479,58
456,91,404,782,41
361,48,735,752,69
186,543,854,976,13
778,694,921,983,50
306,175,498,560,55
115,75,944,200,58
480,763,785,794,20
81,316,44,239,29
461,935,755,695,74
306,236,728,470,18
782,584,401,311,65
316,42,551,60,96
724,464,644,677,91
15,1,771,862,22
12,401,904,935,52
76,101,606,317,65
235,316,219,533,19
14,649,781,530,67
984,258,981,950,63
202,946,143,325,72
202,153,705,664,17
454,563,882,786,66
260,852,943,506,79
867,285,127,562,74
460,234,356,213,69
381,685,788,941,48
425,185,833,792,34
44,327,977,788,65
975,762,142,408,71
392,982,677,168,86
536,573,730,38,99
830,877,283,64,39
280,356,459,125,98
209,639,476,693,24
251,335,687,935,93
132,319,658,743,59
235,957,596,569,30
797,145,414,440,31
982,623,750,944,67
909,620,412,92,11
635,769,982,504,61
507,918,784,60,24
510,621,896,769,52
25,656,56,728,38
654,165,279,85,92
426,162,330,15,52
444,822,705,214,36
148,414,791,364,98
716,247,533,315,94
402,771,703,79,57
612,257,20,381,47
879,314,158,584,29
381,755,608,438,44
822,365,920,566,66
168,349,580,577,21
290,432,255,964,24
32,270,865,324,13
89,166,544,481,97
889,818,976,400,59
392,666,927,501,2
389,932,609,875,19
646,650,833,669,61
771,547,281,10,91
666,293,94,543,76
649,113,735,916,21
422,126,961,534,81
324,443,718,523,75
175,234,661,978,54
435,222,155,52,77
701,338,839,278,90
673,798,694,523,27
760,664,443,945,72
977,664,428,779,49
906,705,549,994,26
882,444,661,971,21
748,456,145,928,4
732,540,639,64,68
516,427,387,73,74
73,883,776,756,85
962,564,194,393,7
924,192,716,233,86
139,819,88,296,76
558,297,582,802,51
693,672,255,644,83
235,455,618,342,51
70,274,669,293,59
571,85,303,758,96
423,940,667,379,19
672,785,507,393,82
374,735,168,688,17
460,597,514,488,55
304,686,268,273,88
560,968,681,276,99
254,926,674,978,6
225,44,91,220,67
34,19,22,152,71
828,597,452,126,95
195,87,805,574,48
186,667,253,22,40
